date,long_gross,short_gross,net_stock_exposure
2011-07-29,1.0029037781,0.6915443896,0.3113593885
2011-08-31,0.8458838616,0.5414188974,0.3044649642
2011-09-30,0.5877641032,0.4081825816,0.1795815215
2011-10-31,0.5271695292,0.3839888089,0.1431807203
2011-11-30,0.5804573462,0.3447708060,0.2356865402
2011-12-30,0.6550735069,0.4084795510,0.2465939559
2012-01-31,0.7646056389,0.4619246666,0.3026809722
2012-02-29,0.9807232430,0.5279370044,0.4527862386
2012-03-30,1.0082285306,0.6119709081,0.3962576225
2012-04-30,1.0037135580,0.6948092376,0.3089043205
2012-05-31,0.9897498307,0.6584719237,0.3312779071
2012-06-29,0.9955581364,0.5941916640,0.4013664724
2012-07-31,0.8787704896,0.5537948976,0.3249755920
2012-08-31,0.9556809904,0.5354161978,0.4202647926
2012-09-28,1.0055293461,0.5897744213,0.4157549249
2012-10-31,0.9988211311,0.6293515114,0.3694696197
2012-11-30,0.9996474489,0.6795608026,0.3200866463
2012-12-31,1.0123822990,0.6727323991,0.3396498999
2013-01-31,1.0256945548,0.6972991111,0.3283954437
2013-02-28,1.0086469917,0.7340007701,0.2746462216
2013-03-28,1.0181792802,0.7397795681,0.2783997120
2013-04-30,1.0128669494,0.7548876663,0.2579792831
2013-05-31,1.0091309965,0.6929779826,0.3161530140
2013-06-28,0.9887477585,0.6635622777,0.3251854808
2013-07-31,1.0120240726,0.7041623829,0.3078616897
2013-08-30,0.9805659179,0.7139873760,0.2665785418
2013-09-30,1.0170136536,0.7077424166,0.3092712369
2013-10-31,1.0110959830,0.7802471160,0.2308488670
2013-11-29,1.0129850065,0.7718504667,0.2411345398
2013-12-31,1.0040627486,0.7366727791,0.2673899694
2014-01-31,0.9952776129,0.7532420039,0.2420356090
2014-02-28,1.0055007710,0.7862922511,0.2192085200
2014-03-31,1.0079563717,0.7417688627,0.2661875091
2014-04-30,0.9925530792,0.7996005455,0.1929525337
2014-05-30,1.0085370449,0.7900412967,0.2184957482
2014-06-30,1.0118191582,0.7406525868,0.2711665714
2014-07-31,1.0001912280,0.7574950636,0.2426961644
2014-08-29,1.0064661519,0.7954976903,0.2109684615
2014-09-30,0.9995269051,0.7682733274,0.2312535777
2014-10-31,0.9950738702,0.6775406936,0.3175331766
2014-11-28,1.0252494465,0.6381348431,0.3871146033
2014-12-31,0.9867647270,0.6510423516,0.3357223754
2015-01-30,1.0026651087,0.6111588787,0.3915062300
2015-02-27,1.0195783921,0.5581018998,0.4614764923
2015-03-31,1.0053273056,0.5468210627,0.4585062430
2015-04-30,1.0035917918,0.5622968538,0.4412949380
2015-05-29,1.0017975274,0.5886231859,0.4131743415
2015-06-30,1.0006053456,0.6389719214,0.3616334242
2015-07-31,0.9981382372,0.7656338120,0.2325044252
2015-08-31,0.9887400247,0.7243684536,0.2643715710
2015-09-30,0.9321463348,0.5124924281,0.4196539066
2015-10-30,0.8780369615,0.4839138210,0.3941231406
2015-11-30,0.8797194620,0.4447849559,0.4349345061
2015-12-31,0.9267689974,0.4658499234,0.4609190741
2016-01-29,0.9154404717,0.4361594098,0.4792810618
2016-02-29,0.9582590955,0.3838024353,0.5744566602
2016-03-31,0.8681982791,0.3837442195,0.4844540596
2016-04-29,0.8233351476,0.3724489048,0.4508862428
2016-05-31,0.9934431405,0.3989562219,0.5944869186
2016-06-30,1.0071133390,0.4595695601,0.5475437789
2016-07-29,1.0147393054,0.4697329216,0.5450063838
2016-08-31,0.9969338663,0.5105513542,0.4863825121
2016-09-30,1.0011003239,0.5301084795,0.4709918443
2016-10-31,0.9968097627,0.5677807694,0.4290289934
2016-11-30,1.0133011686,0.5909126537,0.4223885149
2016-12-30,1.0065514447,0.5415582874,0.4649931573
2017-01-31,1.0091477826,0.5875771413,0.4215706413
2017-02-28,1.0141958101,0.6539467463,0.3602490638
2017-03-31,1.0026074079,0.7881310941,0.2144763139
2017-04-28,1.0044701832,0.7616427373,0.2428274459
2017-05-31,1.0058271401,0.7766067054,0.2292204347
2017-06-30,1.0116529534,0.7251619589,0.2864909944
2017-07-31,1.0133480208,0.6792908517,0.3340571691
2017-08-31,1.0012883345,0.6739709959,0.3273173386
2017-09-29,1.0109168416,0.7172374592,0.2936793824
2017-10-31,1.0128497258,0.7429129375,0.2699367883
2017-11-30,1.0081149202,0.7259976328,0.2821172874
2017-12-29,1.0065736932,0.6692647795,0.3373089137
2018-01-31,1.0194092705,0.6446740264,0.3747352441
2018-02-28,0.9806778794,0.6166570864,0.3640207930
2018-03-29,0.9717033769,0.5639433629,0.4077600141
2018-04-30,0.8634993652,0.5497510566,0.3137483086
2018-05-31,0.9156268732,0.5461963893,0.3694304839
2018-06-29,0.9904138451,0.6611999022,0.3292139429
2018-07-31,1.0081670847,0.6534635633,0.3547035213
2018-08-31,1.0122914454,0.7205360232,0.2917554221
2018-09-28,1.0035833843,0.6924773895,0.3111059948
2018-10-31,0.9747490240,0.6488338899,0.3259151341
2018-11-30,0.9671887724,0.5788762115,0.3883125609
2018-12-31,0.8152189858,0.4813566431,0.3338623427
2019-01-31,0.7936820561,0.4776815193,0.3160005368
2019-02-28,0.7885068614,0.4877593064,0.3007475551
2019-03-29,0.8131820859,0.5476042782,0.2655778076
2019-04-30,0.9789351606,0.6098861853,0.3690489753
2019-05-31,0.9943533822,0.6164201651,0.3779332171
2019-06-28,1.0196018860,0.6151179987,0.4044838873
2019-07-31,1.0122833995,0.6024749420,0.4098084575
2019-08-30,0.9872924191,0.6032235208,0.3840688983
2019-09-30,0.9973963469,0.5506015123,0.4467948345
2019-10-31,0.9770809743,0.5104601611,0.4666208132
2019-11-29,1.0023019951,0.5307117731,0.4715902220
2019-12-31,1.0030370253,0.5511834724,0.4518535529
2020-01-31,1.0108864516,0.5746817386,0.4362047130
2020-02-28,0.9943854545,0.6024205990,0.3919648556
2020-03-31,0.7142098989,0.3994217369,0.3147881620
2020-04-30,0.3683499067,0.2295391225,0.1388107841
2020-05-29,0.3103397513,0.1915576250,0.1187821264
2020-06-30,0.3475553655,0.2056932756,0.1418620899
2020-07-31,0.5791647336,0.2951821294,0.2839826042
2020-08-31,0.6963515875,0.3507557735,0.3455958140
2020-09-30,0.7900496447,0.3952367298,0.3948129149
2020-10-30,0.8920802917,0.4709794224,0.4211008694
2020-11-30,0.8644817279,0.4855664640,0.3789152639
2020-12-31,0.7985192069,0.3566983280,0.4418208789
2021-01-29,0.8324649485,0.3940954641,0.4383694844
2021-02-26,0.8737345078,0.4130827972,0.4606517105
2021-03-31,0.8891215541,0.4204472730,0.4686742811
2021-04-30,0.8281376716,0.4176707440,0.4104669276
2021-05-28,0.8697560272,0.4556432170,0.4141128101
2021-06-30,0.9761443255,0.4658915012,0.5102528242
2021-07-30,1.0078247291,0.5169740329,0.4908506963
2021-08-31,1.0087199763,0.5401019337,0.4686180426
2021-09-30,0.9887658301,0.5191189907,0.4696468394
2021-10-29,1.0084622739,0.5130272046,0.4954350693
2021-11-30,1.0065123773,0.4867704951,0.5197418822
2021-12-31,0.9683630553,0.4554359009,0.5129271544
2022-01-31,0.9143477882,0.4373893906,0.4769583975
2022-02-28,0.9104157116,0.4243196942,0.4860960174
2022-03-31,0.8316787478,0.3603902037,0.4712885442
2022-04-29,0.7131109804,0.3376088764,0.3755021040
2022-05-31,0.7032586378,0.3511091709,0.3521494669
2022-06-30,0.7608246974,0.3077396203,0.4530850771
2022-07-29,0.7070458800,0.3057117066,0.4013341733
2022-08-31,0.7682804966,0.3127900798,0.4554904168
2022-09-30,0.8254190704,0.3500769134,0.4753421570
2022-10-31,0.8462143972,0.3981736692,0.4480407280
2022-11-30,0.7367229528,0.3962048477,0.3405181051
2022-12-30,0.7257922042,0.3464612467,0.3793309575
2023-01-31,0.7863771667,0.3844096566,0.4019675101
2023-02-28,0.9380750694,0.3764080942,0.5616669751
2023-03-31,0.9422703882,0.3952008161,0.5470695721
2023-04-28,0.8985998995,0.4207891331,0.4778107664
2023-05-31,0.8728192260,0.4329105885,0.4399086375
2023-06-30,0.9861981121,0.4440769428,0.5421211693
2023-07-31,1.0088342542,0.4854895305,0.5233447237
2023-08-31,0.9907204216,0.4802977567,0.5104226649
2023-09-29,0.9954867117,0.5221567057,0.4733300060
2023-10-31,0.9878076738,0.5272821247,0.4605255491
2023-11-30,1.0055106733,0.5109691215,0.4945415517
2023-12-29,0.9476711271,0.4742355431,0.4734355840
2024-01-31,0.9440000264,0.4447465642,0.4992534622
2024-02-29,1.0136752148,0.4807994896,0.5328757252
2024-03-28,1.0159598507,0.4890903825,0.5268694682
2024-04-30,0.9881487728,0.5013596611,0.4867891116
2024-05-31,1.0095800294,0.5029967529,0.5065832765
2024-06-28,0.9966177600,0.4885804119,0.5080373481
2024-07-31,1.0153256330,0.5209236556,0.4944019774
2024-08-30,0.9862087601,0.4891248101,0.4970839500
2024-09-30,0.9871734048,0.4620586316,0.5251147732
2024-10-31,1.0015565947,0.4672519876,0.5343046070
2024-11-29,1.0140910764,0.5158933186,0.4981977578
2024-12-31,0.9673920854,0.4681263359,0.4992657495
2025-01-31,0.9830809726,0.4576340637,0.5254469090
2025-02-28,0.9479631308,0.4725410055,0.4754221253
2025-03-31,0.8638330816,0.4522707150,0.4115623667
2025-04-30,0.7743758417,0.3829167379,0.3914591038
2025-05-30,0.7175524564,0.3328554605,0.3846969959
2025-06-30,0.6690613366,0.3542450430,0.3148162936
2025-07-31,0.8212079889,0.4192321771,0.4019758118
2025-08-29,1.0071116775,0.4917623795,0.5153492980
2025-09-30,1.0009831832,0.4805472813,0.5204359019
2025-10-31,0.9956764708,0.4588238354,0.5368526354
2025-11-28,0.9791328152,0.4468814064,0.5322514088
2025-12-31,0.9933883282,0.4761631302,0.5172251980
2026-01-30,0.9877847012,0.4874013366,0.5003833646
2026-02-27,0.9313782209,0.4668473499,0.4645308711
2026-03-31,0.7790839427,0.3970115582,0.3820723845
2026-04-30,0.7861177310,0.4027098493,0.3834078817
2026-05-27,0.8212212234,0.3780151446,0.4432060788
